
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 102.745   TrackMC Seg Momentum: 102.786  Resolution: -0.0407715
Track Seg Momentum: 104.576   TrackMC Seg Momentum: 104.438  Resolution: 0.13726
Track Seg Momentum: 102.409   TrackMC Seg Momentum: 101.766  Resolution: 0.642799
Track Seg Momentum: 101.704   TrackMC Seg Momentum: 101.766  Resolution: -0.0621719
Track Seg Momentum: 103.384   TrackMC Seg Momentum: 103.229  Resolution: 0.155258
Track Seg Momentum: 104.342   TrackMC Seg Momentum: 104.586  Resolution: -0.244598
Track Seg Momentum: 104.56   TrackMC Seg Momentum: 104.753  Resolution: -0.192566
Track Seg Momentum: 104.416   TrackMC Seg Momentum: 104.564  Resolution: -0.148315
Track Seg Momentum: 104.612   TrackMC Seg Momentum: 104.586  Resolution: 0.0258942
Track Seg Momentum: 102.673   TrackMC Seg Momentum: 104.109  Resolution: -1.43564
Track Seg Momentum: 104.1   TrackMC Seg Momentum: 104.165  Resolution: -0.0647888
Track Seg Momentum: 104.49   TrackMC Seg Momentum: 104.702  Resolution: -0.211807
Track Seg Momentum: 104.423   TrackMC Seg Momentum: 104.533  Resolution: -0.110771
Track Seg Momentum: 102.907   TrackMC Seg Momentum: 103.277  Resolution: -0.369995
Track Seg Momentum: 103.864   TrackMC Seg Momentum: 104.054  Resolution: -0.190277
Track Seg Momentum: 103.8   TrackMC Seg Momentum: 104.275  Resolution: -0.474976
Track Seg Momentum: 104.374   TrackMC Seg Momentum: 104.378  Resolution: -0.00427246
Track Seg Momentum: 105.055   TrackMC Seg Momentum: 104.445  Resolution: 0.609695
Track Seg Momentum: 102.5   TrackMC Seg Momentum: 104.635  Resolution: -2.13413
Track Seg Momentum: 103.42   TrackMC Seg Momentum: 103.541  Resolution: -0.121201
Track Seg Momentum: 104.172   TrackMC Seg Momentum: 104.599  Resolution: -0.426384
Track Seg Momentum: 104.457   TrackMC Seg Momentum: 104.813  Resolution: -0.356514
Track Seg Momentum: 104.59   TrackMC Seg Momentum: 104.427  Resolution: 0.162605
Track Seg Momentum: 103.964   TrackMC Seg Momentum: 104.29  Resolution: -0.326401
Track Seg Momentum: 103.573   TrackMC Seg Momentum: 103.724  Resolution: -0.151108
Track Seg Momentum: 104.608   TrackMC Seg Momentum: 104.737  Resolution: -0.128098
Track Seg Momentum: 104.435   TrackMC Seg Momentum: 104.413  Resolution: 0.0216751
Track Seg Momentum: 101.096   TrackMC Seg Momentum: 100.792  Resolution: 0.30336
Track Seg Momentum: 103.996   TrackMC Seg Momentum: 104.016  Resolution: -0.0209427
Track Seg Momentum: 104.356   TrackMC Seg Momentum: 104.268  Resolution: 0.0884705
Track Seg Momentum: 104.629   TrackMC Seg Momentum: 104.573  Resolution: 0.0563278
Track Seg Momentum: 101.926   TrackMC Seg Momentum: 104.692  Resolution: -2.76561
Track Seg Momentum: 104.343   TrackMC Seg Momentum: 104.219  Resolution: 0.124176
Track Seg Momentum: 104.5   TrackMC Seg Momentum: 104.533  Resolution: -0.0332565
Track Seg Momentum: 103.173   TrackMC Seg Momentum: 103.066  Resolution: 0.107773
Track Seg Momentum: 104.253   TrackMC Seg Momentum: 104.296  Resolution: -0.0429916
Track Seg Momentum: 104.458   TrackMC Seg Momentum: 104.499  Resolution: -0.0410385
Track Seg Momentum: 104.366   TrackMC Seg Momentum: 104.501  Resolution: -0.135681
Track Seg Momentum: 104.033   TrackMC Seg Momentum: 103.866  Resolution: 0.167427
Track Seg Momentum: 102.734   TrackMC Seg Momentum: 102.717  Resolution: 0.017189
Track Seg Momentum: 103.234   TrackMC Seg Momentum: 103.298  Resolution: -0.0636826
Track Seg Momentum: 104.469   TrackMC Seg Momentum: 104.481  Resolution: -0.0122528
Track Seg Momentum: 104.491   TrackMC Seg Momentum: 104.612  Resolution: -0.121323
Track Seg Momentum: 104.006   TrackMC Seg Momentum: 104.334  Resolution: -0.328781
Track Seg Momentum: 104.008   TrackMC Seg Momentum: 104.041  Resolution: -0.0328979
